data_point,predicted,difference,hit,
13.9,12.7458,1.15419,1,
13.3,11.8883,1.41172,0,
13.3,11.5155,1.78447,0,
12.8,12.1203,0.6797,1,
12.8,11.4096,1.39044,0,
13.3,11.415,1.88503,0,
12.2,12.1007,0.0992594,1,
12.2,11.4996,0.700373,1,
12.2,10.6858,1.51425,0,
11.1,11.151,0.0509529,1,
11.1,10.9114,0.188555,1,
11.1,10.2666,0.833437,1,
10.6,10.0344,0.565626,1,
10,9.71497,0.285032,1,
10,9.58383,0.41617,1,
10.6,9.43812,1.16188,0,
10.6,10.116,0.48403,1,
10.6,10.2005,0.399511,1,
10.6,9.84241,0.757587,1,
11.1,9.76318,1.33682,0,
12.2,10.3956,1.80438,0,
13.3,11.5009,1.79908,0,
13.9,12.1276,1.77236,0,
14.4,12.5011,1.89889,0,
15,12.6864,2.31356,0,
15,12.9652,2.03485,0,
13.9,13.0257,0.874296,1,
13.3,12.0281,1.27193,1,
12.8,10.9141,1.88586,0,
13.3,11.4439,1.85612,0,
12.2,12.1179,0.0820551,1,
12.2,11.5088,0.691217,1,
12.2,10.6968,1.50322,0,
11.1,11.1502,0.0501566,1,
10.6,10.909,0.309033,1,
10.6,10.2648,0.335176,1,
9.4,10.0326,0.632634,1,
9.4,9.71381,0.313814,1,
10,9.58287,0.417126,1,
10,9.4375,0.562495,1,
10.6,9.37341,1.22659,0,
10.6,10.0957,0.504297,1,
11.7,10.2217,1.47831,0,
11.7,10.7426,0.957375,1,
11.7,10.82,0.880022,1,
11.7,10.1862,1.5138,0,
11.7,10.9496,0.750422,1,
13.3,10.7841,2.51589,0,
13.9,11.6488,2.25119,0,
15.6,12.7148,2.88516,0,
16.7,13.1878,3.51219,0,
15.6,13.8652,1.73475,0,
15,13.4563,1.54375,0,
15,12.7935,2.20647,0,
14.4,12.8301,1.56991,0,
15,12.6708,2.32919,0,
15.6,12.7827,2.81729,0,
15,13.2669,1.73311,0,
15,13.0692,1.93078,0,
13.9,12.8301,1.06991,1,
13.9,11.9307,1.9693,0,
13.9,11.846,2.05402,0,
13.3,12.5436,0.756425,1,
13.9,11.6881,2.21192,0,
17.2,11.9801,5.2199,0,
15,13.8818,1.11824,1,
16.1,13.125,2.97497,0,
16.1,12.7328,3.3672,0,
17.2,13.757,3.44304,0,
17.8,13.8372,3.96284,0,
17.2,14.2369,2.96309,0,
17.8,14.0202,3.77984,0,
18.3,14.0242,4.27582,0,
18.3,14.36,3.94005,0,
18.3,14.3755,3.92446,0,
16.1,14.317,1.78296,0,
16.1,13.5902,2.50984,0,
18.9,13.1066,5.79337,0,
20,14.3663,5.63366,0,
18.9,15.0775,3.82249,0,
18.9,14.6938,4.20622,0,
18.9,14.3958,4.50419,0,
